gene_set_label	normalized_enrichment_score	statistical_significance
reckPathway	2.000	0.000
relaPathway	2.000	0.000
rnaPathway	2.000	0.000
s1pPathway	2.000	0.000
SA_BONE_MORPHOGENETIC	2.000	0.000
SA_DAG1	2.000	0.000
SA_G1_AND_S_PHASES	2.000	0.000
SA_MMP_CYTOKINE_CONNECTION	2.000	0.000
SA_PTEN_PATHWAY	2.000	0.000
SA_REG_CASCADE_OF_CYCLIN_EXPR	2.000	0.000
salmonellaPathway	2.000	0.000
setPathway	2.000	0.000
SIG_BCR_Signaling_Pathway	2.000	0.000
SIG_CHEMOTAXIS	2.000	0.000
SIG_InsulinReceptorPathwayInCardiacMyocytes	2.000	0.000
SIG_PIP3SIGINCARDIACMYOCTES	2.000	0.000
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	2.000	0.000
skp2e2fPathway	2.000	0.000
slrpPathway	2.000	0.000
sppaPathway	2.000	0.000
srcRPTPPathway	2.000	0.000
ST_B_Cell_Antigen_Receptor	2.000	0.000
ST_Dictyostelium_discoideum_cAMP_Receptor_G_Protein_Independent_Pathways	2.000	0.000
ST_ERK1_ERK2_MAPK_Pathway	2.000	0.000
ST_Fas_Signaling_Pathway	2.000	0.000
ST_G_alpha_5_Pathway	2.000	0.000
ST_G_Protein_Independent_7_Transmembrane	2.000	0.000
ST_Ga12_Pathway	2.000	0.000
ST_Ga13_Pathway	2.000	0.000
ST_Gaq_Pathway	2.000	0.000
ST_GRANULE_CELL_SURVIVAL_PATHWAY	2.000	0.000
ST_Integrin_Signaling_Pathway	2.000	0.000
ST_Interleukin_13_Pathway	2.000	0.000
ST_Jak_STAT_Pathway	2.000	0.000
ST_MONOCYTE_AD_PATHWAY	2.000	0.000
ST_PAC1_RECEPTOR_PATHWAY	2.000	0.000
ST_STAT3_Pathway	2.000	0.000
ST_Tumor_Necrosis_Factor_Pathway	2.000	0.000
ST_Wnt_beta_catenin_Pathway	2.000	0.000
stat3Pathway	2.000	0.000
stressPathway	2.000	0.000
tcapoptosisPathway	2.000	0.000
tcrMoleculePathway	2.000	0.000
tcytotoxicPathway	2.000	0.000
tercPathway	2.000	0.000
TGF_Beta_Signaling_Pathway	2.000	0.000
tgfbPathway	2.000	0.000
th1th2Pathway	2.000	0.000
tidPathway	2.000	0.000
tnfr1Pathway	2.000	0.000
tob1Pathway	2.000	0.000
tollPathway	2.000	0.000
tpoPathway	2.000	0.000
tRNA_Synthetases	2.000	0.000
tubbyPathway	2.000	0.000
ucalpainPathway	2.000	0.000
vegfPathway	2.000	0.000
vifPathway	2.000	0.000
vitcbPathway	2.000	0.000
VOXPHOS	2.000	0.000
wntPathway	2.000	0.000
GLUCO	2.000	0.000
GLYCOL	2.000	0.000
GO_0005739	2.000	0.000
human_mitoDB_6_2002	2.000	0.000
KET	2.000	0.000
PGC	2.000	0.000
ROS	2.000	0.000
shh_lisa	2.000	0.000
MYC_MUT	2.000	0.000
INSULIN_2F_UP	2.000	0.000
NFKB_REDUCED	2.000	0.000
EMT_DOWN	2.000	0.000
HTERT_UP	2.000	0.000
ANTI_CD44_DOWN	2.000	0.000
P53_UP	2.000	0.000
RAP_UP	2.000	0.000
GLUT_UP	2.000	0.000
GLUT_DOWN	2.000	0.000
LEU_UP	2.000	0.000
GLUCOSE_UP	2.000	0.000
BRCA_UP	2.000	0.000
BRCA_DOWN	2.000	0.000
FRASOR_ER_DOWN	2.000	0.000
ANDROGEN_GENES_FROM_NETAFFX	2.000	0.000
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	2.000	0.000
AR_MOUSE	2.000	0.000
XINACT_MERGED	2.000	0.000
GNF_FEMALE_GENES	2.000	0.000
HEMO_TF_LIST_JP	2.000	0.000
HUMAN_CD34_ENRICHED_TF_JP	2.000	0.000
DOWNREG_BY_HOXA9	2.000	0.000
KRAS_TOP100_CONTROL	2.000	0.000
RAR_UP	2.000	0.000
FETAL_LIVER_HS_ENRICHED_TF_JP	2.000	0.000
41bbPathway	1.000	0.500
acetaminophenPathway	1.000	0.500
actinYPathway	1.000	0.500
ahspPathway	1.000	0.500
akap13Pathway	1.000	0.500
akapCentrosomePathway	1.000	0.500
alkPathway	1.000	0.500
amiPathway	1.000	0.500
appPathway	1.000	0.500
arenrf2Pathway	1.000	0.500
argininecPathway	1.000	0.500
at1rPathway	1.000	0.500
atrbrcaPathway	1.000	0.500
bbcellPathway	1.000	0.500
bcrPathway	1.000	0.500
biopeptidesPathway	1.000	0.500
botulinPathway	1.000	0.500
ca_nf_at_signalling	1.000	0.500
calcineurinPathway	1.000	0.500
carm1Pathway	1.000	0.500
caspase_activity	1.000	0.500
cblPathway	1.000	0.500
ccr5Pathway	1.000	0.500
cdc25Pathway	1.000	0.500
cdk5Pathway	1.000	0.500
cell_adhesion	1.000	0.500
cell_adhesion_receptor_activity	1.000	0.500
cell_cycle_arrest	1.000	0.500
cell_cycle_checkpointII	1.000	0.500
cell_death	1.000	0.500
cell_motility	1.000	0.500
cell_surface_receptor_linked_signal_transduction	1.000	0.500
cellcyclePathway	1.000	0.500
cftrPathway	1.000	0.500
chrebpPathway	1.000	0.500
ck1Pathway	1.000	0.500
Complement_Activation_Classical	1.000	0.500
cptPathway	1.000	0.500
CR_CAM	1.000	0.500
CR_CELL_CYCLE	1.000	0.500
CR_DEATH	1.000	0.500
CR_HORMONAL_FUNCTIONS	1.000	0.500
CR_PROTEIN_MOD	1.000	0.500
CR_SIGNALLING	1.000	0.500
CR_TRANSPORT	1.000	0.500
crebPathway	1.000	0.500
cskPathway	1.000	0.500
ctlPathway	1.000	0.500
cytokinePathway	1.000	0.500
dbpbPathway	1.000	0.500
deathPathway	1.000	0.500
dnafragmentPathway	1.000	0.500
drug_resistance_and_metabolism	1.000	0.500
edg1Pathway	1.000	0.500
EGF_receptor_signaling_pathway	1.000	0.500
egfr_smrtePathway	1.000	0.500
eif2Pathway	1.000	0.500
electron_transport	1.000	0.500
electron_transporter_activity	1.000	0.500
ephA4Pathway	1.000	0.500
epoPathway	1.000	0.500
erbb4Pathway	1.000	0.500
erkPathway	1.000	0.500
etcPathway	1.000	0.500
extrinsicPathway	1.000	0.500
Fatty_Acid_Degradation	1.000	0.500
Fatty_Acid_Synthesis	1.000	0.500
fcer1Pathway	1.000	0.500
fibrinolysisPathway	1.000	0.500
fmlppathway	1.000	0.500
freePathway	1.000	0.500
G13_Signaling_Pathway	1.000	0.500
g1pPathway	1.000	0.500
gabaPathway	1.000	0.500
gcrPathway	1.000	0.500
gleevecPathway	1.000	0.500
glycolysisPathway	1.000	0.500
GPCRs_Class_A_Rhodopsin-like	1.000	0.500
GPCRs_Class_B_Secretin-like	1.000	0.500
gsk3Pathway	1.000	0.500
hbxPathway	1.000	0.500
hdacPathway	1.000	0.500
hivnefPathway	1.000	0.500
huntingtonPathway	1.000	0.500
igf1mtorPathway	1.000	0.500
igf1rPathway	1.000	0.500
Il12Pathway	1.000	0.500
il18Pathway	1.000	0.500
il22bpPathway	1.000	0.500
il2rbPathway	1.000	0.500
il4Pathway	1.000	0.500
il6Pathway	1.000	0.500
Inflammatory_Response_Pathway	1.000	0.500
insulin_signalling	1.000	0.500
integrinPathway	1.000	0.500
ionPathway	1.000	0.500
ketonebodiesPathway	1.000	0.500
Krebs-TCA_Cycle	1.000	0.500
ldlPathway	1.000	0.500
leptinPathway	1.000	0.500
lymphocytePathway	1.000	0.500
malatexPathway	1.000	0.500
MAP_kinase_kinase_activity	1.000	0.500
MAP00020_Citrate_cycle_TCA_cycle	1.000	0.500
MAP00051_Fructose_and_mannose_metabolism	1.000	0.500
MAP00062_Fatty_acid_biosynthesis_path_2	1.000	0.500
MAP00100_Sterol_biosynthesis	1.000	0.500
MAP00140_C21_Steroid_hormone_metabolism	1.000	0.500
MAP00190_Oxidative_phosphorylation	1.000	0.500
MAP00195_Photosynthesis	1.000	0.500
MAP00230_Purine_metabolism	1.000	0.500
MAP00251_Glutamate_metabolism	1.000	0.500
MAP00271_Methionine_metabolism	1.000	0.500
MAP00330_Arginine_and_proline_metabolism	1.000	0.500
MAP00350_Tyrosine_metabolism	1.000	0.500
MAP00361_gamma_Hexachlorocyclohexane_degradation	1.000	0.500
MAP00400_Phenylalanine_tyrosine_and_tryptophan_biosynthesis	1.000	0.500
MAP00430_Taurine_and_hypotaurine_metabolism	1.000	0.500
MAP00460_Cyanoamino_acid_metabolism	1.000	0.500
MAP00500_Starch_and_sucrose_metabolism	1.000	0.500
MAP00512_O_Glycans_biosynthesis	1.000	0.500
MAP00531_Glycosaminoglycan_degradation	1.000	0.500
MAP00561_Glycerolipid_metabolism	1.000	0.500
MAP00590_Prostaglandin_and_leukotriene_metabolism	1.000	0.500
MAP00601_Blood_group_glycolipid_biosynthesis_lact_series	1.000	0.500
MAP00603_Globoside_metabolism	1.000	0.500
MAP00630_Glyoxylate_and_dicarboxylate_metabolism	1.000	0.500
MAP00650_Butanoate_metabolism	1.000	0.500
MAP00680_Methane_metabolism	1.000	0.500
MAP00720_Reductive_carboxylate_cycle_CO2_fixation	1.000	0.500
MAP00760_Nicotinate_and_nicotinamide_metabolism	1.000	0.500
MAP00860_Porphyrin_and_chlorophyll_metabolism	1.000	0.500
MAP00970_Aminoacyl_tRNA_biosynthesis	1.000	0.500
MAP03070_Type_III_secretion_system	1.000	0.500
MAPKKK_cascade	1.000	0.500
Matrix_Metalloproteinases	1.000	0.500
mef2dPathway	1.000	0.500
metPathway	1.000	0.500
mitrPathway	1.000	0.500
mprPathway	1.000	0.500
mRNA_processing	1.000	0.500
mrpPathway	1.000	0.500
mta3Pathway	1.000	0.500
muscle_myosin	1.000	0.500
ndkDynaminPathway	1.000	0.500
neutrophilPathway	1.000	0.500
nfkbPathway	1.000	0.500
nkcellsPathway	1.000	0.500
no1Pathway	1.000	0.500
nos1Pathway	1.000	0.500
nthiPathway	1.000	0.500
p27Pathway	1.000	0.500
p38mapkPathway	1.000	0.500
p53hypoxiaPathway	1.000	0.500
par1Pathway	1.000	0.500
parkinsonsPathway	1.000	0.500
pelp1Pathway	1.000	0.500
pentosePathway	1.000	0.500
pgc1aPathway	1.000	0.500
pkcPathway	1.000	0.500
plcePathway	1.000	0.500
plk3Pathway	1.000	0.500
pparaPathway	1.000	0.500
Proteasome_Degradation	1.000	0.500
ps1Pathway	1.000	0.500
ptdinsPathway	1.000	0.500
pyk2Pathway	1.000	0.500
rac1Pathway	1.000	0.500
radiation_sensitivity	1.000	0.500
ranPathway	1.000	0.500
rarrxrPathway	1.000	0.500
rbPathway	1.000	0.500
reelinPathway	1.000	0.500
rhoPathway	1.000	0.500
S1P_Signaling	1.000	0.500
SA_B_CELL_RECEPTOR_COMPLEXES	1.000	0.500
SA_CASPASE_CASCADE	1.000	0.500
SA_FAS_SIGNALLING	1.000	0.500
SA_G2_AND_M_PHASES	1.000	0.500
SA_PROGRAMMED_CELL_DEATH	1.000	0.500
SA_TRKA_RECEPTOR	1.000	0.500
sarsPathway	1.000	0.500
shhPathway	1.000	0.500
SIG_CD40PATHWAYMAP	1.000	0.500
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	1.000	0.500
SIG_PIP3_signaling_in_B_lymphocytes	1.000	0.500
slrp2Pathway	1.000	0.500
soddPathway	1.000	0.500
spryPathway	1.000	0.500
ST_ADRENERGIC	1.000	0.500
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	1.000	0.500
ST_Differentiation_Pathway_in_PC12_Cells	1.000	0.500
ST_G_alpha_i_Pathway_	1.000	0.500
ST_G_Protein_Independent_7_Transmembrane_Receptor_Signaling	1.000	0.500
ST_IL_13_PATHWAY	1.000	0.500
ST_Interferon_gamma_Pathway	1.000	0.500
ST_Interleukin_4_Pathway	1.000	0.500
ST_JNK_MAPK_Pathway	1.000	0.500
ST_p38_MAPK_Pathway	1.000	0.500
ST_Phosphoinositide_3_Kinase_Pathway	1.000	0.500
ST_T_Cell_Signal_Transduction	1.000	0.500
ST_Type_I_Interferon_Pathway	1.000	0.500
ST_Wnt_Ca2_cyclic_GMP_Pathway	1.000	0.500
stemPathway	1.000	0.500
tall1Pathway	1.000	0.500
tcraPathway	1.000	0.500
tcrPathway	1.000	0.500
telPathway	1.000	0.500
tertPathway	1.000	0.500
thelperPathway	1.000	0.500
tnf_and_fas_network	1.000	0.500
tnfr2Pathway	1.000	0.500
torPathway	1.000	0.500
trkaPathway	1.000	0.500
tsp1Pathway	1.000	0.500
tumor_supressor	1.000	0.500
ureacyclePathway	1.000	0.500
vipPathway	1.000	0.500
vobesityPathway	1.000	0.500
Wnt_Signaling	1.000	0.500
FA	1.000	0.500
GLYCOGEN	1.000	0.500
GO_ROS	1.000	0.500
INS	1.000	0.500
mitochondr	1.000	0.500
PYR	1.000	0.500
TCA	1.000	0.500
MYC_WT	1.000	0.500
INSULIN_2F_DOWN	1.000	0.500
NFKB_INDUCED	1.000	0.500
EMT_UP	1.000	0.500
HTERT_DOWN	1.000	0.500
ANTI_CD44_UP	1.000	0.500
HOXA9_DOWN	1.000	0.500
P53_DOWN	1.000	0.500
RAP_DOWN	1.000	0.500
LEU_DOWN	1.000	0.500
GLUCOSE_DOWN	1.000	0.500
FRASOR_ER_UP	1.000	0.500
ANDROGEN_UP_GENES	1.000	0.500
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	1.000	0.500
TESTIS_GENES_FROM_XHX_AND_NETAFFX	1.000	0.500
GATA1_WEISS	1.000	0.500
HOX_LIST_JP	1.000	0.500
PROLIF_GENES	1.000	0.500
UPREG_BY_HOXA9	1.000	0.500
KRAS_TOP100_KNOCKDOWN	1.000	0.500
ADULT_LIVER_vs_FETAL_LIVER_GNF2	1.000	0.500
CBF_LEUKEMIA_DOWNING_AML	1.000	0.500
