gene_set_label	normalized_enrichment_score	statistical_significance
plk3Pathway	1.397	0.091
EMT_DOWN	1.396	0.116
tercPathway	1.391	0.116
blymphocytePathway	1.391	0.104
tcraPathway	1.389	0.160
MAP00620_Pyruvate_metabolism	1.385	0.112
bcl2family_and_reg_network	1.385	0.109
mitochondriaPathway	1.378	0.101
tRNA_Synthetases	1.377	0.149
MAP00590_Prostaglandin_and_leukotriene_metabolism	1.375	0.088
inflamPathway	1.364	0.104
g1Pathway	1.362	0.124
etcPathway	1.362	0.126
keratinocytePathway	1.357	0.133
tumor_supressor	1.355	0.103
ANDROGEN_UP_GENES	1.353	0.100
CR_TRANSPORT_OF_VESICLES	1.352	0.126
cytokinePathway	1.349	0.151
mcalpainPathway	1.349	0.127
Krebs-TCA_Cycle	1.345	0.149
SA_REG_CASCADE_OF_CYCLIN_EXPR	1.344	0.151
ST_Tumor_Necrosis_Factor_Pathway	1.343	0.165
electron_transporter_activity	1.335	0.087
cell_death	1.334	0.138
MAP00240_Pyrimidine_metabolism	1.332	0.178
fosbPathway	1.328	0.151
HOX_LIST_JP	1.326	0.163
MAP00252_Alanine_and_aspartate_metabolism	1.325	0.155
GLUT_DOWN	1.325	0.202
vitcbPathway	1.322	0.155
relaPathway	1.316	0.171
nktPathway	1.315	0.130
erythPathway	1.314	0.168
Glycogen_Metabolism	1.307	0.183
tnf_and_fas_network	1.306	0.182
mitrPathway	1.305	0.143
ST_MONOCYTE_AD_PATHWAY	1.305	0.169
dnafragmentPathway	1.304	0.183
il7Pathway	1.303	0.166
MAP00360_Phenylalanine_metabolism	1.301	0.165
il22bpPathway	1.297	0.170
intrinsicPathway	1.296	0.177
Complement_Activation_Classical	1.296	0.178
TCA	1.295	0.216
Fatty_Acid_Synthesis	1.292	0.192
ST_IL_13_PATHWAY	1.292	0.165
ST_Interleukin_13_Pathway	1.292	0.165
ahspPathway	1.291	0.242
eea1Pathway	1.291	0.157
MAP00500_Starch_and_sucrose_metabolism	1.291	0.183
proteasomePathway	1.289	0.227
ST_ERK1_ERK2_MAPK_Pathway	1.289	0.167
hdacPathway	1.289	0.170
ST_Dictyostelium_discoideum_cAMP_Receptor_G_Protein_Independent_Pathways	1.286	0.153
slrp2Pathway	1.281	0.164
lechtinPathway	1.275	0.197
longevityPathway	1.271	0.172
il3Pathway	1.269	0.203
ST_STAT3_Pathway	1.269	0.202
ANTI_CD44_DOWN	1.269	0.194
MAP00602_Blood_group_glycolipid_biosynthesis_neolact_series	1.268	0.198
NFKB_INDUCED	1.268	0.196
egfr_smrtePathway	1.267	0.193
SIG_CD40PATHWAYMAP	1.266	0.193
EMT_UP	1.265	0.165
d4gdiPathway	1.261	0.188
pyk2Pathway	1.258	0.216
gabaPathway	1.255	0.208
cellcyclePathway	1.255	0.194
ST_Ga12_Pathway	1.254	0.206
MAP00030_Pentose_phosphate_pathway	1.254	0.242
fasPathway	1.252	0.232
ST_Type_I_Interferon_Pathway	1.249	0.225
mta3Pathway	1.249	0.225
XINACT_MERGED	1.249	0.236
ifnaPathway	1.248	0.209
akap13Pathway	1.245	0.224
CR_CYTOSKELETON	1.245	0.217
epoPathway	1.244	0.235
Wnt_Signaling	1.241	0.168
anthraxPathway	1.241	0.161
TESTIS_GENES_FROM_XHX_AND_NETAFFX	1.240	0.196
MAP00310_Lysine_degradation	1.235	0.213
MAP00561_Glycerolipid_metabolism	1.231	0.209
tidPathway	1.231	0.232
TGF_Beta_Signaling_Pathway	1.230	0.215
GPCRs_Class_A_Rhodopsin-like	1.225	0.212
rarPathway	1.224	0.241
srcRPTPPathway	1.223	0.247
FRASOR_ER_DOWN	1.223	0.184
drug_resistance_and_metabolism	1.222	0.146
ST_Interferon_gamma_Pathway	1.222	0.239
gata3Pathway	1.220	0.198
mrpPathway	1.220	0.218
GATA1_WEISS	1.219	0.283
insulin_signalling	1.219	0.200
RAP_UP	1.217	0.204
fatty_acid_metabolism	1.216	0.247
eponfkbPathway	1.214	0.269
aifPathway	1.210	0.189
fibrinolysisPathway	1.210	0.256
LEU_DOWN	1.204	0.280
tnfr1Pathway	1.203	0.246
MAP00630_Glyoxylate_and_dicarboxylate_metabolism	1.201	0.251
CR_TRANSCRIPTION_FACTORS	1.199	0.232
tall1Pathway	1.198	0.290
SA_CASPASE_CASCADE	1.197	0.256
pkcPathway	1.192	0.252
INSULIN_2F_UP	1.189	0.274
tcrMoleculePathway	1.184	0.283
rabPathway	1.182	0.282
neurotransmittersPathway	1.180	0.297
biopeptidesPathway	1.178	0.258
skp2e2fPathway	1.173	0.286
amiPathway	1.171	0.281
cskPathway	1.171	0.281
MAP00650_Butanoate_metabolism	1.169	0.277
SA_TRKA_RECEPTOR	1.167	0.287
ST_Integrin_Signaling_Pathway	1.167	0.282
MAP00533_Keratan_sulfate_biosynthesis	1.164	0.283
ST_B_Cell_Antigen_Receptor	1.164	0.278
cd40Pathway	1.163	0.321
carm-erPathway	1.161	0.320
p35alzheimersPathway	1.158	0.283
plcePathway	1.158	0.286
botulinPathway	1.155	0.288
calcineurinPathway	1.153	0.295
ngfPathway	1.151	0.315
nfkbPathway	1.148	0.325
betaoxidationPathway	1.146	0.308
MAP00670_One_carbon_pool_by_folate	1.146	0.330
ptc1Pathway	1.146	0.348
acetaminophenPathway	1.143	0.309
MAP00330_Arginine_and_proline_metabolism	1.140	0.272
stat3Pathway	1.140	0.354
ST_Differentiation_Pathway_in_PC12_Cells	1.136	0.304
mapkPathway	1.136	0.285
MAP00010_Glycolysis_Gluconeogenesis	1.135	0.305
ace2Pathway	1.135	0.326
carm1Pathway	1.132	0.284
FRASOR_ER_UP	1.128	0.302
UPREG_BY_HOXA9	1.126	0.305
CR_HORMONAL_FUNCTIONS	1.126	0.301
glycolysisPathway	1.123	0.318
GLUT_UP	1.122	0.292
GLUCO	1.120	0.322
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	1.119	0.297
MAP00020_Citrate_cycle_TCA_cycle	1.119	0.369
cell_cycle_regulator	1.116	0.327
hcmvPathway	1.113	0.360
ephA4Pathway	1.111	0.333
MAPKKK_cascade	1.105	0.344
GLUCOSE_DOWN	1.102	0.358
tcapoptosisPathway	1.102	0.373
igf1mtorPathway	1.102	0.344
MAPK_Cascade	1.100	0.360
nthiPathway	1.100	0.393
ST_ADRENERGIC	1.100	0.346
chemicalPathway	1.099	0.343
SA_DAG1	1.096	0.337
HTERT_UP	1.096	0.360
CR_SIGNALLING	1.094	0.351
MAP00720_Reductive_carboxylate_cycle_CO2_fixation	1.094	0.397
ucalpainPathway	1.092	0.357
deathPathway	1.090	0.331
ST_G_alpha_5_Pathway	1.086	0.343
SIG_BCR_Signaling_Pathway	1.081	0.393
GPCRs_Class_B_Secretin-like	1.079	0.378
SA_G2_AND_M_PHASES	1.078	0.393
caspasePathway	1.078	0.378
ranPathway	1.075	0.376
ptdinsPathway	1.074	0.369
bcrPathway	1.071	0.375
cell_surface_receptor_linked_signal_transduction	1.071	0.358
cdk5Pathway	1.069	0.398
mRNA_binding_activity	1.067	0.423
CR_IMMUNE_FUNCTION	1.067	0.348
MAP00450_Selenoamino_acid_metabolism	1.066	0.400
wntPathway	1.062	0.399
feederPathway	1.062	0.409
gsk3Pathway	1.057	0.396
ST_Interleukin_4_Pathway	1.054	0.431
VOXPHOS	1.053	0.454
spryPathway	1.049	0.421
HEMO_TF_LIST_JP	1.047	0.407
P53_DOWN	1.043	0.398
tpoPathway	1.038	0.428
MAP03020_RNA_polymerase	1.035	0.447
MAP00350_Tyrosine_metabolism	1.034	0.425
rhoPathway	1.032	0.413
soddPathway	1.032	0.427
circadianPathway	1.032	0.460
fmlppathway	1.020	0.430
gcrPathway	1.014	0.431
Electron_Transport_Chain	1.012	0.472
gsPathway	1.012	0.480
ST_PAC1_RECEPTOR_PATHWAY	1.011	0.446
dbpbPathway	1.009	0.479
malatexPathway	1.008	0.495
vobesityPathway	1.006	0.457
MAP00601_Blood_group_glycolipid_biosynthesis_lact_series	1.004	0.456
ketonebodiesPathway	0.999	0.490
KET	0.999	0.490
ndkDynaminPathway	0.998	0.458
GLUCOSE_UP	0.997	0.482
CR_ANGIOG	0.992	0.474
MAP00052_Galactose_metabolism	0.992	0.495
cell_growth_and_or_maintenance	0.991	0.457
HUMAN_CD34_ENRICHED_TF_JP	0.991	0.463
FA	0.989	0.467
cell_proliferation	0.988	0.483
vifPathway	0.987	0.491
flumazenilPathway	0.985	0.486
cell_cycle_arrest	0.985	0.466
tob1Pathway	0.982	0.454
SIG_PIP3_signaling_in_B_lymphocytes	0.982	0.485
egfPathway	0.979	0.515
BRCA_DOWN	0.978	0.508
sppaPathway	0.978	0.472
MAP00632_Benzoate_degradation	0.977	0.489
cdmacPathway	0.976	0.484
INSULIN_2F_DOWN	0.975	0.495
FETAL_LIVER_HS_ENRICHED_TF_JP	0.972	0.495
MAP00410_beta_Alanine_metabolism	0.971	0.524
cblPathway	0.967	0.493
salmonellaPathway	0.964	0.507
no1Pathway	0.964	0.515
metPathway	0.962	0.528
parkinPathway	0.962	0.576
g1pPathway	0.961	0.564
SIG_PIP3SIGINCARDIACMYOCTES	0.959	0.552
cdc42racPathway	0.956	0.519
ptenPathway	0.955	0.547
bbcellPathway	0.953	0.553
ecmPathway	0.953	0.528
ST_Wnt_beta_catenin_Pathway	0.952	0.527
LEU_UP	0.950	0.550
notchPathway	0.949	0.546
INS	0.949	0.533
MAP00062_Fatty_acid_biosynthesis_path_2	0.946	0.535
SA_PROGRAMMED_CELL_DEATH	0.944	0.520
MAP00512_O_Glycans_biosynthesis	0.942	0.539
MAP00790_Folate_biosynthesis	0.937	0.523
leptinPathway	0.936	0.534
etsPathway	0.932	0.555
tubbyPathway	0.931	0.585
cxcr4Pathway	0.929	0.561
GLYCOGEN	0.927	0.558
nkcellsPathway	0.925	0.553
MAP00400_Phenylalanine_tyrosine_and_tryptophan_biosynthesis	0.924	0.565
GO_0005739	0.924	0.559
slrpPathway	0.921	0.574
vegfPathway	0.920	0.552
cptPathway	0.917	0.631
Fatty_Acid_Degradation	0.907	0.575
mprPathway	0.906	0.598
arenrf2Pathway	0.905	0.569
shhPathway	0.901	0.597
MAP00640_Propanoate_metabolism	0.899	0.587
ST_Wnt_Ca2_cyclic_GMP_Pathway	0.899	0.592
tcrPathway	0.898	0.571
raccycdPathway	0.898	0.583
SA_G1_AND_S_PHASES	0.897	0.584
GNF_FEMALE_GENES	0.895	0.561
pmlPathway	0.895	0.590
cremPathway	0.895	0.618
ccr3Pathway	0.894	0.587
rnaPathway	0.894	0.616
GPCRs_Class_A_Rhodopsin-like_2	0.894	0.643
p53_signalling	0.891	0.639
MAP00100_Sterol_biosynthesis	0.889	0.620
dreamPathway	0.888	0.614
mef2dPathway	0.885	0.581
MAP00071_Fatty_acid_metabolism	0.882	0.649
SA_B_CELL_RECEPTOR_COMPLEXES	0.881	0.604
aktPathway	0.879	0.615
trkaPathway	0.878	0.629
appPathway	0.877	0.648
il17Pathway	0.875	0.585
hivnefPathway	0.874	0.648
MAP00051_Fructose_and_mannose_metabolism	0.872	0.641
ccr5Pathway	0.872	0.642
nos1Pathway	0.869	0.666
MAP00190_Oxidative_phosphorylation	0.867	0.618
ST_GRANULE_CELL_SURVIVAL_PATHWAY	0.865	0.660
ST_T_Cell_Signal_Transduction	0.861	0.639
shh_lisa	0.861	0.678
ck1Pathway	0.861	0.648
asbcellPathway	0.860	0.613
akap96Pathway	0.860	0.637
P53_UP	0.858	0.656
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	0.853	0.653
badPathway	0.850	0.669
pparPathway	0.849	0.709
ctlPathway	0.848	0.610
RAP_DOWN	0.847	0.620
akapCentrosomePathway	0.846	0.678
ca_nf_at_signalling	0.843	0.702
pparaPathway	0.843	0.746
cftrPathway	0.841	0.703
reelinPathway	0.841	0.700
SIG_CHEMOTAXIS	0.841	0.662
actinYPathway	0.839	0.656
pdgfPathway	0.832	0.704
alkPathway	0.831	0.712
PGC	0.830	0.710
il4Pathway	0.828	0.688
rasPathway	0.827	0.667
ANDROGEN_GENES_FROM_NETAFFX	0.826	0.722
ox40Pathway	0.825	0.716
SA_PTEN_PATHWAY	0.822	0.682
MAP00260_Glycine_serine_and_threonine_metabolism	0.822	0.694
ST_p38_MAPK_Pathway	0.821	0.707
GPCRs_Class_C_Metabotropic_glutamate_pheromone	0.821	0.670
MAP00430_Taurine_and_hypotaurine_metabolism	0.816	0.681
SA_BONE_MORPHOGENETIC	0.814	0.784
chrebpPathway	0.807	0.695
SIG_InsulinReceptorPathwayInCardiacMyocytes	0.802	0.725
gpcrPathway	0.801	0.747
nfatPathway	0.801	0.759
breast_cancer_estrogen_signalling	0.800	0.852
Il12Pathway	0.798	0.694
sarsPathway	0.796	0.725
ST_Jak_STAT_Pathway	0.796	0.729
MAP00562_Inositol_phosphate_metabolism	0.793	0.730
myosinPathway	0.792	0.776
fcer1Pathway	0.791	0.749
PROLIF_GENES	0.787	0.939
MAP00251_Glutamate_metabolism	0.787	0.768
Inflammatory_Response_Pathway	0.786	0.750
MAP00120_Bile_acid_biosynthesis	0.781	0.762
cardiacegfPathway	0.780	0.789
parkinsonsPathway	0.778	0.806
achPathway	0.776	0.745
igf1rPathway	0.775	0.716
vipPathway	0.774	0.804
human_mitoDB_6_2002	0.773	0.748
thelperPathway	0.772	0.699
CR_PROTEIN_MOD	0.770	0.835
pelp1Pathway	0.766	0.780
ST_Phosphoinositide_3_Kinase_Pathway	0.766	0.749
tcytotoxicPathway	0.764	0.695
ST_Fas_Signaling_Pathway	0.760	0.814
agpcrPathway	0.760	0.809
hbxPathway	0.758	0.783
RAR_UP	0.757	0.816
MAP00140_C21_Steroid_hormone_metabolism	0.756	0.802
igf1Pathway	0.754	0.788
MAP00460_Cyanoamino_acid_metabolism	0.753	0.852
malatePathway	0.746	0.792
MAP00272_Cysteine_metabolism	0.745	0.802
erkPathway	0.745	0.790
erk5Pathway	0.743	0.785
ppargPathway	0.741	0.796
MAP00150_Androgen_and_estrogen_metabolism	0.741	0.788
insulinPathway	0.739	0.803
il2Pathway	0.738	0.774
MAP00740_Riboflavin_metabolism	0.734	0.825
MAP00710_Carbon_fixation	0.733	0.775
p38mapkPathway	0.732	0.833
CR_TRANSPORT	0.729	0.804
erbb4Pathway	0.729	0.779
CBF_LEUKEMIA_DOWNING_AML	0.727	0.822
hsp27Pathway	0.724	0.849
arapPathway	0.723	0.800
MYC_WT	0.720	0.866
EGF_receptor_signaling_pathway	0.720	0.860
huntingtonPathway	0.720	0.801
hifPathway	0.718	0.807
PYR	0.717	0.783
atmPathway	0.717	0.828
cacamPathway	0.717	0.798
ghPathway	0.711	0.842
rarrxrPathway	0.711	0.809
mitochondr	0.708	0.818
CR_DEATH	0.706	0.898
at1rPathway	0.705	0.845
plcdPathway	0.705	0.879
MYC_MUT	0.702	0.884
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	0.699	0.867
muscle_myosin	0.696	0.841
CR_DNA_MET_AND_MOD	0.692	0.844
p53hypoxiaPathway	0.690	0.876
electron_transport	0.685	0.935
gleevecPathway	0.685	0.852
ctla4Pathway	0.684	0.837
s1pPathway	0.672	0.848
rac1Pathway	0.671	0.884
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.670	0.851
il2rbPathway	0.667	0.890
erbb3Pathway	0.667	0.990
tgfbPathway	0.666	0.871
ceramidePathway	0.652	0.868
ST_JNK_MAPK_Pathway	0.652	0.928
ionPathway	0.650	0.885
plcPathway	0.641	0.901
ureacyclePathway	0.634	0.914
edg1Pathway	0.632	0.923
ps1Pathway	0.630	0.927
no2il12Pathway	0.630	0.872
par1Pathway	0.626	0.893
KRAS_TOP100_CONTROL	0.619	0.964
MAP_kinase_activity	0.616	0.902
MAP00220_Urea_cycle_and_metabolism_of_amino_groups	0.613	0.940
mtorPathway	0.613	0.928
crebPathway	0.606	0.909
MAP00510_N_Glycans_biosynthesis	0.601	0.928
MAP00280_Valine_leucine_and_isoleucine_degradation	0.591	0.954
eif4Pathway	0.584	0.926
argininecPathway	0.570	0.934
torPathway	0.563	0.961
pitx2Pathway	0.563	0.951
G13_Signaling_Pathway	0.561	0.971
SA_FAS_SIGNALLING	0.560	0.946
ST_G_Protein_Independent_7_Transmembrane	0.559	0.963
ST_G_Protein_Independent_7_Transmembrane_Receptor_Signaling	0.559	0.963
MAP00361_gamma_Hexachlorocyclohexane_degradation	0.531	0.982
CR_CANCER_TESTIS	0.517	0.969
MAP00271_Methionine_metabolism	0.510	0.973
BRCA_UP	0.510	0.996
fxrPathway	0.498	0.983
methioninePathway	0.488	0.992
caspase_activity	0.482	0.986
MAP00760_Nicotinate_and_nicotinamide_metabolism	0.416	1.000
MAP00532_Chondroitin_Heparan_sulfate_biosynthesis	0.000	1.000
